time,green,red,yellow,net(g-r)
1781880698.3,0,16,6,-16
1781880699.3,0,16,3,-16
1781881316.0,0,16,3,-16
1781881319.0,0,16,6,-16
1781881323.0,0,0,0,0
1781881324.0,1,0,0,1
1781881326.0,1,3,1,-2
1781881333.0,6,1,6,5
1781881335.0,6,1,2,5
1781881339.0,6,6,2,0
1781881341.0,6,6,0,0
1781881343.0,1,6,60,-5
1781881344.0,3,6,6,-3
1781881345.0,3,6,0,-3
1781881346.0,0,1,0,-1
1781881347.0,3,6,66,-3
1781881348.0,3,6,0,-3
1781881349.0,3,1,0,2
1781881351.0,10,,60,
1781881352.0,11,6,1,5
1781881353.0,11,0,0,11
1781881355.0,31,0,,31
1781881356.0,11,0,2,11
1781881357.0,11,6,6,5
1781881358.0,31,0,6,31
1781881360.0,13,6,6,7
1781881361.0,16,6,6,10
1781881365.1,10,6,6,4
1781881366.1,16,6,6,10
1781881368.1,16,6,63,10
1781881369.1,16,6,16,10
1781881371.1,16,6,6,10
1781881373.1,16,0,6,16
1781881376.1,16,6,,10
1781881377.1,16,0,,16
1781881379.1,16,1,1,15
1781881380.1,11,1,1,10
1781881381.1,16,1,11,15
1781881382.1,16,1,16,15
1781881384.1,16,1,6,15
1781881386.1,16,6,2,10
1781881387.1,10,6,2,4
1781881388.1,10,0,12,10
1781881389.1,10,60,12,-50
1781881390.1,10,10,1,0
1781881391.1,10,13,6,-3
1781881392.1,10,13,12,-3
1781881393.1,10,10,12,0
1781881394.1,10,,13,
1781881395.1,10,6,2,4
1781881399.1,10,6,6,4
1781881400.1,6,6,6,0
1781881402.1,6,11,0,-5
1781881403.1,6,6,6,0
1781881407.1,11,,6,
1781881408.1,11,6,6,5
1781881409.1,0,6,1,-6
1781881410.1,0,6,11,-6
1781881411.1,0,6,1,-6
1781881412.1,0,11,0,-11
1781881413.1,0,11,2,-11
1781881414.1,0,11,,-11
1781881415.1,0,11,33,-11
1781881416.1,0,16,23,-16
1781881417.1,6,11,23,-5
1781881418.1,16,11,23,5
1781881420.1,16,16,23,0
1781881424.1,16,16,13,0
1781881425.1,6,16,1,-10
1781881426.1,6,16,2,-10
1781881428.1,6,66,2,-60
1781881429.1,6,11,2,-5
1781881451.1,0,11,2,-11
1781881452.1,11,16,2,-5
1781881453.1,61,6,2,55
1781881454.1,0,16,20,-16
1781881455.1,11,16,1,-5
1781881456.1,0,6,21,-6
1781881457.1,1,11,16,-10
1781881458.1,63,11,26,52
1781881459.1,66,6,3,60
1781881460.1,6,6,66,0
1781881461.1,6,11,66,-5
1781881464.1,66,11,6,55
1781881466.1,0,11,12,-11
1781881467.1,0,11,36,-11
1781881468.1,66,11,23,55
1781881470.1,66,16,23,50
1781881476.1,0,16,23,-16
1781881477.1,0,16,13,-16
1781881478.1,61,16,16,45
1781881480.1,1,16,16,-15
1781881481.1,0,16,66,-16
1781881482.1,0,16,61,-16
1781881483.1,0,11,20,-11
1781881484.1,0,6,13,-6
1781881485.1,0,6,0,-6
1781881486.1,0,10,10,-10
1781881487.1,0,13,,-13
1781881488.1,0,10,0,-10
1781881489.1,0,10,10,-10
1781881490.1,0,10,60,-10
1781881491.1,0,13,10,-13
1781881492.1,0,10,13,-10
1781881493.1,0,10,16,-10
1781881494.1,0,10,10,-10
